Fold;Dataset;Model;AUC;F-measure;Precision;Recall;MCC;FNR;TNR;FPR;Anomalies;TP
1;20% Defect;ExtraTrees;0.5749144836259601;0.05755395683453237;0.45714285714285713;0.030710172744721688;0.0791897395910662;0.9692898272552783;0.9918524871355061;0.008147512864493996;521;16
2;20% Defect;ExtraTrees;0.6066359168657167;0.08064516129032258;0.5;0.043859649122807015;0.11283193760285372;0.9561403508771931;0.9921752738654148;0.00782472613458529;114;5
3;20% Defect;ExtraTrees;0.752434988179669;0.43333333333333335;0.8666666666666667;0.28888888888888886;0.45731552296829425;0.7111111111111111;0.9914893617021276;0.00851063829787234;45;13
1;20% Defect;SVM;0.5578079165610401;0.3068249258160237;0.18146718146718147;0.9923224568138196;-0.07927370978825009;0.007677543186180422;0.0;1.0;521;517
2;20% Defect;SVM;0.42215083875573123;0.25378346915017463;0.14630872483221477;0.9561403508771931;-0.13692280485107705;0.043859649122807015;0.004694835680751174;0.9953051643192488;114;109
3;20% Defect;SVM;0.30297872340425536;0.1935483870967742;0.11320754716981134;0.6666666666666665;-0.5436887751983938;0.33333333333333326;0.0;1.0;45;30
1;20% Defect;KNN;0.49057262224973086;0.0;0.0;0.0;-0.015335317993845944;1.0;0.9987135506003431;0.0012864493996569471;521;0
2;20% Defect;KNN;0.5598316997501578;0.0;0.0;0.0;-0.05598321208655758;1.0;0.9796557120500783;0.020344287949921755;114;0
3;20% Defect;KNN;0.6208037825059102;0.1568627450980392;0.6666666666666665;0.08888888888888889;0.2038580337718175;0.9111111111111111;0.9914893617021276;0.00851063829787234;45;4
1;20% Defect;IF;0.6540673365312122;0.36949152542372876;0.2618094475580464;0.6276391554702495;0.1808812503685206;0.3723608445297505;0.6046312178387651;0.395368782161235;521;327
2;20% Defect;IF;0.526398155011943;0.2513464991023339;0.1580135440180587;0.6140350877192983;0.022075650222981844;0.38596491228070173;0.4162754303599374;0.5837245696400626;114;70
3;20% Defect;IF;0.6980614657210402;0.3146067415730337;0.1891891891891892;0.9333333333333332;0.15168498548147025;0.06666666666666667;0.23404255319148937;0.7659574468085107;45;42
1;20% Defect;OCSVM;0.6196998778572675;0.33333333333333337;0.208594881699662;0.8291746641074856;0.109432410412514;0.1708253358925144;0.2971698113207547;0.7028301886792453;521;432
2;20% Defect;OCSVM;0.5863465392746341;0.2763636363636364;0.17431192660550457;0.6666666666666665;0.07498476873688673;0.33333333333333326;0.43661971830985913;0.5633802816901409;114;76
3;20% Defect;OCSVM;0.6363120567375886;0.3024054982817869;0.17886178861788618;0.9777777777777777;0.13291157759972505;0.022222222222222223;0.14042553191489363;0.8595744680851064;45;44
1;20% Defect;LOF;0.6086049719664322;0.3374949657672171;0.21355759429153923;0.8042226487523991;0.11884719515171245;0.19577735124760076;0.338336192109777;0.6616638078902229;521;419
2;20% Defect;LOF;0.6167531504818383;0.2728592162554427;0.16347826086956518;0.8245614035087719;0.060592790974887845;0.17543859649122806;0.24726134585289514;0.7527386541471048;114;94
3;20% Defect;LOF;0.7375886524822695;0.328125;0.1990521327014218;0.9333333333333332;0.18254176495432156;0.06666666666666667;0.28085106382978725;0.7191489361702128;45;42
1;50% Defect;ExtraTrees;0.6358945274133315;0.4821160679036715;0.6209070571486679;0.3940371708828085;0.1897383480041726;0.6059628291171916;0.7804992934526613;0.21950070654733866;7748;3053
2;50% Defect;ExtraTrees;0.624588218575791;0.6271661305385493;0.5874805598755832;0.6726018250612065;0.18092598907462842;0.3273981749387937;0.5057069648264617;0.4942930351735384;4493;3022
3;50% Defect;ExtraTrees;0.6916759401170781;0.6119954976684354;0.6251642575558476;0.5993700787401575;0.2820691488346077;0.40062992125984254;0.6818181818181818;0.3181818181818182;3175;1903
1;50% Defect;SVM;0.3741273939747355;0.4562209400033611;0.4030485994259131;0.5255549819308208;-0.1902081224682386;0.4744450180691791;0.28980216674517195;0.7101978332548281;7748;4072
2;50% Defect;SVM;0.3790412593568306;0.4782698675496689;0.4469154902339973;0.5143556643667928;-0.1542439344769699;0.4856443356332072;0.3337992080130444;0.6662007919869555;4493;2311
3;50% Defect;SVM;0.28495812674837845;0.3409395973154361;0.32379603399433426;0.36;-0.3053776822124808;0.64;0.3343558282208589;0.665644171779141;3175;1143
1;50% Defect;KNN;0.5279200035455033;0.4429095618389812;0.5004064379775647;0.3972638100154879;0.03644435323987348;0.6027361899845122;0.6381300047103156;0.36186999528968433;7748;3078
2;50% Defect;KNN;0.556733903280663;0.5317986280665038;0.5567185978578384;0.5090140218117071;0.08499219319530144;0.4909859781882929;0.5758211041229909;0.4241788958770091;4493;2287
3;50% Defect;KNN;0.5965142658896585;0.48380817554415145;0.5521001615508885;0.4305511811023621;0.12564981387567722;0.5694488188976378;0.6907417735638595;0.30925822643614054;3175;1367
1;50% Defect;IF;0.5097445565701121;0.37549848460679525;0.49144050104384135;0.3038203407330924;0.018578449299929686;0.6961796592669076;0.7131417804992934;0.28685821950070656;7748;2354
2;50% Defect;IF;0.4596910996833706;0.5281116711903839;0.44782989916703203;0.6434645669291339;-0.0628435751967479;0.35653543307086616;0.29754601226993865;0.7024539877300614;3175;2043
3;50% Defect;IF;0.5331165040797214;0.6136258873421222;0.5237645577588921;0.7407077676385488;0.04004088957690373;0.25929223236145116;0.2951316095970184;0.7048683904029815;4493;3328
1;50% Defect;OCSVM;0.517791077198352;0.5235793444942232;0.4818793402777778;0.5731801755291688;0.010975256810236835;0.42681982447083117;0.43770607630711256;0.5622939236928874;7748;4441
2;50% Defect;OCSVM;0.4927155912538261;0.48621929298981426;0.4635818337617824;0.5111811023622047;-0.012506977803321636;0.48881889763779524;0.47629670942554386;0.5237032905744562;3175;1623
3;50% Defect;OCSVM;0.5465753622802954;0.5688112484022155;0.5454545454545454;0.5942577342532829;0.07645328042732344;0.4057422657467171;0.4817144188213371;0.518285581178663;4493;2670
1;50% Defect;LOF;0.4868906804326876;0.5854225147613977;0.4683289453306489;0.7805885389778007;-0.03457722284116933;0.21941146102219927;0.1914743287800283;0.8085256712199719;7748;6048
2;50% Defect;LOF;0.48400841417410667;0.6185436071126164;0.4658058345289335;0.9203149606299212;-0.027293543957819202;0.07968503937007874;0.06553262688232013;0.9344673731176799;3175;2922
3;50% Defect;LOF;0.5357870142902625;0.6574361422773931;0.5116423086450335;0.9194302247941242;0.0017553468205002152;0.08056977520587581;0.0815280689494526;0.9184719310505475;4493;4131
1;Full dataset;ExtraTrees;0.6229950761760408;0.24927113702623907;0.6449353448275862;0.15449148167268972;0.12070781003844307;0.8455085183273102;0.9223975506358926;0.0776024493641074;7748;1197
2;Full dataset;ExtraTrees;0.6302692786529047;0.16219644798840158;0.5562461155997513;0.09494006576853717;0.10190253636814886;0.9050599342314628;0.9562580408013233;0.04374195919867671;9427;895
3;Full dataset;ExtraTrees;0.7174679747574777;0.3711872360394181;0.7276908923643055;0.24913385826771653;0.22634356518887583;0.7508661417322835;0.9174567763524819;0.08254322364751814;3175;791
4;Full dataset;ExtraTrees;0.6617777302882154;0.45348139255702286;0.6959926301243666;0.33630091253060324;0.21157523917816148;0.6636990874693969;0.846261355695318;0.15373864430468204;4493;1511
5;Full dataset;ExtraTrees;0.7388970050628371;0.3332792997244286;0.8538205980066444;0.20704934541792547;0.1970471986241518;0.7929506545820745;0.9397260273972603;0.06027397260273973;4965;1028
6;Full dataset;ExtraTrees;0.6784142963701998;0.2927576601671309;0.5858416945373467;0.19513553657630894;0.20255002775602723;0.8048644634236911;0.9381091211995002;0.061890878800499795;5386;1051
7;Full dataset;ExtraTrees;0.6082987920709283;0.2555685814771395;0.3283132530120481;0.2092130518234165;0.13685359868206812;0.7907869481765835;0.9043739279588336;0.09562607204116638;521;109
8;Full dataset;ExtraTrees;0.783308374438959;0.5431893687707641;0.6411764705882353;0.4711815561959654;0.3671597756503909;0.5288184438040345;0.8643439584877687;0.1356560415122313;694;327
9;Full dataset;ExtraTrees;0.7798617995389407;0.4510385756676558;0.6909090909090909;0.33480176211453744;0.30638208401042605;0.6651982378854625;0.9094540612516646;0.09054593874833555;454;152
10;Full dataset;ExtraTrees;0.7125032448508853;0.40365296803652967;0.48464912280701755;0.3458528951486698;0.2662626267883493;0.6541471048513301;0.8886255924170616;0.11137440758293839;639;221
11;Full dataset;ExtraTrees;0.7016216912855499;0.42861181792479497;0.4849648112603967;0.38399189463019245;0.25238760589352954;0.6160081053698075;0.8490813648293964;0.15091863517060367;1974;758
12;Full dataset;ExtraTrees;0.7361387294282831;0.48337332876242717;0.592436974789916;0.40822235089751013;0.298263331075168;0.5917776491024899;0.858104154476302;0.14189584552369808;1727;705
13;Full dataset;ExtraTrees;0.8217966903073286;0.5542168674698796;0.6052631578947368;0.5111111111111111;0.4796467116773491;0.4888888888888889;0.9361702127659575;0.06382978723404255;45;23
14;Full dataset;ExtraTrees;0.7091503447166597;0.34135901551631886;0.7367205542725174;0.22214484679665739;0.23922596081158892;0.7778551532033426;0.9401574803149606;0.05984251968503937;1436;319
15;Full dataset;ExtraTrees;0.7343642753205392;0.24644549763033174;0.26804123711340205;0.22807017543859648;0.1251408075467344;0.7719298245614035;0.8888888888888888;0.1111111111111111;114;26
16;Full dataset;ExtraTrees;0.7783206944042984;0.48282630029440626;0.5491071428571429;0.43082311733800355;0.36494150133575043;0.5691768826619965;0.9019417475728155;0.09805825242718447;571;246
17;Full dataset;ExtraTrees;0.7537260990357901;0.4390243902439025;0.75;0.3103448275862069;0.31402510649932847;0.6896551724137931;0.9289099526066351;0.07109004739336493;290;90
18;Full dataset;ExtraTrees;0.7627124768732655;0.4837545126353791;0.49264705882352944;0.475177304964539;0.2909478800148675;0.524822695035461;0.8125;0.1875;282;134
19;Full dataset;ExtraTrees;0.7230516709150862;0.4891611687087652;0.5753880266075388;0.42540983606557375;0.3183283656500663;0.5745901639344262;0.8634094151212554;0.13659058487874465;1220;519
20;Full dataset;ExtraTrees;0.7471009274766647;0.499437570303712;0.4718384697130712;0.5304659498207885;0.2957026044285154;0.4695340501792115;0.7756207674943567;0.22437923250564334;837;444
21;Full dataset;ExtraTrees;0.6718629442864443;0.34576672587329776;0.5983606557377049;0.24313072439633637;0.1614609556207465;0.7568692756036636;0.8801955990220048;0.1198044009779951;1201;292
22;Full dataset;ExtraTrees;0.7242350168056222;0.46715328467153283;0.5673758865248227;0.3970223325062035;0.25701950581063243;0.6029776674937966;0.8349120433017592;0.16508795669824086;403;160
23;Full dataset;ExtraTrees;0.6920119494939236;0.3547557840616966;0.43125;0.30131004366812225;0.22502832867965655;0.6986899563318777;0.8941860465116279;0.10581395348837211;687;207
24;Full dataset;ExtraTrees;0.6977429946762728;0.2885245901639344;0.7586206896551724;0.17813765182186234;0.265285304222528;0.8218623481781377;0.9724409448818898;0.027559055118110236;247;44
25;Full dataset;ExtraTrees;0.8159533376942965;0.6431159420289856;0.6294326241134752;0.6574074074074074;0.4761001526092602;0.3425925925925926;0.8242220353238016;0.17577796467619847;540;355
26;Full dataset;ExtraTrees;0.7363112169596135;0.5077903682719547;0.6614391143911439;0.41206896551724137;0.30449359011250127;0.5879310344827586;0.8571984435797666;0.14280155642023346;1740;717
27;Full dataset;ExtraTrees;0.6474702082190166;0.38615916955017304;0.582220367278798;0.2888796852350383;0.18608160142952038;0.7111203147649617;0.8625188847685757;0.13748111523142426;9658;2790
28;Full dataset;ExtraTrees;0.6692665248895648;0.35816403310759976;0.5003503854239664;0.27890625;0.19661012134449354;0.72109375;0.881146857809635;0.11885314219036508;2560;714
29;Full dataset;ExtraTrees;0.6774766656213996;0.33819951338199516;0.5322271857051691;0.24784546805349184;0.19317661224424562;0.7521545319465082;0.899354661540574;0.10064533845942608;3365;834
30;Full dataset;ExtraTrees;0.6373893515690986;0.42573273720814714;0.40577651515151514;0.4477533960292581;0.16357630807579995;0.5522466039707419;0.7202407489968792;0.2797592510031208;1914;857
31;Full dataset;ExtraTrees;0.7112976527239137;0.47330533893221355;0.6819360414866033;0.3624253559944879;0.2837452457470685;0.6375746440055122;0.8770875083500332;0.1229124916499666;2177;789
32;Full dataset;ExtraTrees;0.6521992960310716;0.5077800829875518;0.5705128205128205;0.45747663551401874;0.19100945781543305;0.5425233644859813;0.726530612244898;0.27346938775510204;2140;979
1;Full dataset;SVM;0.4169632398411478;0.638973063973064;0.47408193854609043;0.9797367062467734;-0.05052975302474759;0.020263293753226642;0.008360810174281677;0.9916391898257183;7748;7591
2;Full dataset;SVM;0.40772834933446583;0.5083425036433393;0.35319887584724746;0.9065450302323115;-0.10564921277130711;0.09345496976768855;0.04123016602340256;0.9587698339765974;9427;8546
3;Full dataset;SVM;0.30930302005612376;0.6103032820938928;0.45529211219587784;0.9253543307086615;-0.1312711651654702;0.07464566929133858;0.019799219185722253;0.9802007808142776;3175;2938
4;Full dataset;SVM;0.3712260638478501;0.6251006927662317;0.4898371417750284;0.8635655464055197;-0.13042563868161486;0.1364344535944803;0.05870020964360587;0.9412997903563941;4493;3880
5;Full dataset;SVM;0.32450902895611755;0.723999013401299;0.6116976938038344;0.8868076535750252;-0.12051510743057404;0.11319234642497483;0.04280821917808219;0.9571917808219177;4965;4403
6;Full dataset;SVM;0.3364419268923875;0.4518341379777106;0.2984442987423258;0.9296323802450799;-0.12725416881472945;0.07036761975492016;0.019575177009579343;0.9804248229904207;5386;5007
7;Full dataset;SVM;0.43612445389687987;0.26294277929155313;0.1598343685300207;0.7408829174664108;-0.13845286012803834;0.2591170825335892;0.12993138936535162;0.8700686106346484;521;386
8;Full dataset;SVM;0.24435861338209755;0.3811965811965813;0.2709599027946537;0.6426512968299711;-0.2955224669220156;0.3573487031700288;0.11045218680504076;0.8895478131949592;694;446
9;Full dataset;SVM;0.32738433923637794;0.4663865546218487;0.34188911704312114;0.7334801762114538;-0.14778113300134624;0.2665198237885463;0.14647137150466044;0.8535286284953395;454;333
10;Full dataset;SVM;0.2966520555666808;0.29059829059829057;0.18810511756569848;0.6384976525821596;-0.20301324763108033;0.3615023474178404;0.16540284360189575;0.8345971563981043;639;408
11;Full dataset;SVM;0.32887644363603485;0.3529124435217975;0.2325020112630732;0.7320162107396151;-0.20199756056641044;0.267983789260385;0.10573678290213723;0.8942632170978626;1974;1445
12;Full dataset;SVM;0.3145483412689996;0.4619406427802552;0.3144891122278057;0.8697162709901564;-0.161334792223555;0.13028372900984367;0.042129900526623756;0.9578700994733762;1727;1502
13;Full dataset;SVM;0.30855791962174944;0.18248175182481752;0.1091703056768559;0.5555555555555556;-0.29739142820655856;0.4444444444444444;0.13191489361702127;0.8680851063829788;45;25
14;Full dataset;SVM;0.27337493328654255;0.4997658079625292;0.37649964714184897;0.7430362116991645;-0.2546073552266806;0.25696378830083566;0.07244094488188976;0.9275590551181102;1436;1067
15;Full dataset;SVM;0.2642286467342064;0.19047619047619052;0.11214953271028037;0.631578947368421;-0.2633184304839139;0.3684210526315789;0.107981220657277;0.892018779342723;114;72
16;Full dataset;SVM;0.21247088228792954;0.24778132765353217;0.1553873552983081;0.6112084063047285;-0.36116784554652553;0.38879159369527144;0.07912621359223301;0.920873786407767;571;349
17;Full dataset;SVM;0.27366399738519365;0.3866995073891626;0.3007662835249042;0.5413793103448276;-0.35940493752234803;0.4586206896551724;0.13507109004739337;0.8649289099526066;290;157
18;Full dataset;SVM;0.23176842429848907;0.23182297154899895;0.16491754122938532;0.3900709219858156;-0.34529048381995103;0.6099290780141844;0.24320652173913043;0.7567934782608695;282;110
19;Full dataset;SVM;0.3245284838988798;0.36240437158469946;0.24709388971684054;0.6795081967213115;-0.27326540767418994;0.32049180327868854;0.09914407988587731;0.9008559201141226;1220;829
20;Full dataset;SVM;0.2730573287916913;0.3099561678146525;0.21001272804412388;0.5913978494623656;-0.265145978825439;0.4086021505376344;0.15936794582392777;0.8406320541760722;837;495
21;Full dataset;SVM;0.3300886180831377;0.5539267015706806;0.4039709812905689;0.880932556203164;-0.13583764701636772;0.11906744379683597;0.04584352078239609;0.9541564792176039;1201;1058
22;Full dataset;SVM;0.2823277381747852;0.29461756373937675;0.2378048780487805;0.3870967741935484;-0.2797970126354695;0.6129032258064516;0.3234100135317997;0.6765899864682002;403;156
23;Full dataset;SVM;0.33813964772124616;0.289110005527916;0.1784373933810986;0.7612809315866085;-0.23081892449013378;0.23871906841339155;0.06666666666666667;0.9333333333333332;687;523
24;Full dataset;SVM;0.3678552073703337;0.4428274428274429;0.29790209790209793;0.8623481781376519;-0.2635838399955421;0.13765182186234817;0.011811023622047244;0.9881889763779528;247;213
25;Full dataset;SVM;0.22877145438121047;0.21153846153846156;0.16176470588235292;0.3055555555555556;-0.38965302346434055;0.6944444444444444;0.2809083263246426;0.7190916736753574;540;165
26;Full dataset;SVM;0.2374851290308153;0.4129712834537996;0.31281444214264575;0.6074712643678161;-0.35294657665689255;0.39252873563218393;0.09649805447470819;0.9035019455252918;1740;1057
27;Full dataset;SVM;0.38145061729185104;0.5221241717174889;0.37471264367816093;0.8607372126734315;-0.16216582294370618;0.13926278732656866;0.04738360115368768;0.9526163988463123;9658;8313
28;Full dataset;SVM;0.3729288214702451;0.42955457847447903;0.2843583902809415;0.877734375;-0.11166190170499282;0.122265625;0.057342890481746955;0.942657109518253;2560;2247
29;Full dataset;SVM;0.3538078355852819;0.4416103257529195;0.29779297482126205;0.8540861812778603;-0.12198806119803449;0.14591381872213968;0.0694768639296993;0.9305231360703007;3365;2874
30;Full dataset;SVM;0.36322803418134486;0.335319697213722;0.24237485448195575;0.5438871473354232;-0.17685743655639205;0.4561128526645768;0.2746321890325457;0.7253678109674543;1914;1041
31;Full dataset;SVM;0.36943769640030333;0.5158706615247701;0.3809419496166484;0.7988056959118053;-0.22269587965114412;0.2011943040881948;0.056112224448897796;0.9438877755511023;2177;1739
32;Full dataset;SVM;0.33573370554678966;0.515552614162806;0.399077868852459;0.72803738317757;-0.17945694563049566;0.2719626168224299;0.12949907235621522;0.870500927643785;2140;1558
1;Full dataset;KNN;0.5522853465778231;0.349889059566479;0.5163727959697733;0.2645844088797109;0.04473236202954926;0.7354155911202891;0.7739048516250588;0.22609514837494113;7748;2050
2;Full dataset;KNN;0.5592424838030129;0.2871049763893934;0.45550945136007376;0.2096106926912061;0.08354187598445155;0.7903893073087939;0.8552962078049379;0.1447037921950622;9427;1976
3;Full dataset;KNN;0.6407116476586551;0.38581314878892736;0.6155969634230504;0.2809448818897638;0.15278044675289068;0.7190551181102363;0.8446737311767987;0.15532626882320133;3175;892
4;Full dataset;KNN;0.5864237969574432;0.4093325457767277;0.6081614743308469;0.30847985755619856;0.11457997250133287;0.6915201424438014;0.7919869555089681;0.20801304449103192;4493;1386
5;Full dataset;KNN;0.5806046779511375;0.33874208004945144;0.7277556440903055;0.2207452165156093;0.09868770505781185;0.7792547834843907;0.8595890410958904;0.1404109589041096;4965;1096
6;Full dataset;KNN;0.5898797196303743;0.28102539530426446;0.3960162052667117;0.21778685480876345;0.08458141295783433;0.7822131451912365;0.850978758850479;0.14902124114952103;5386;1173
7;Full dataset;KNN;0.5280162835028297;0.19548872180451127;0.19152854511970535;0.19961612284069097;0.01118595815024694;0.8003838771593091;0.8117495711835335;0.18825042881646656;521;104
8;Full dataset;KNN;0.6957293587095147;0.4614173228346457;0.5086805555555556;0.42219020172910665;0.22357565236468388;0.5778097982708934;0.7902149740548555;0.20978502594514456;694;293
9;Full dataset;KNN;0.6747875079922805;0.3582554517133956;0.6117021276595744;0.2533039647577093;0.20845487425211162;0.7466960352422908;0.9027962716378163;0.09720372836218376;454;115
10;Full dataset;KNN;0.6380530153008626;0.33362445414847164;0.37747035573122534;0.29890453834115804;0.16307153986064693;0.701095461658842;0.8507109004739335;0.14928909952606634;639;191
11;Full dataset;KNN;0.6132760665555104;0.3329512893982807;0.38324538258575197;0.29432624113475175;0.13035066746992896;0.7056737588652482;0.8247094113235847;0.17529058867641545;1974;581
12;Full dataset;KNN;0.6766736643736639;0.4106097140888736;0.5068027210884354;0.34510712217718587;0.19726964986367032;0.6548928778228141;0.8303101228788765;0.16968987712112343;1727;596
13;Full dataset;KNN;0.7606146572104019;0.5316455696202531;0.6176470588235294;0.4666666666666666;0.46253229004704316;0.5333333333333333;0.9446808510638298;0.05531914893617021;45;21
14;Full dataset;KNN;0.5741276073081395;0.3413729128014842;0.5111111111111111;0.2562674094707521;0.086074265570206;0.7437325905292479;0.8152230971128609;0.18477690288713908;1436;368
